email_text,label
"Click here to confirm your account http://malicious-bank.com verify now",Phishing
"Hi John, just checking in about the project. Let me know if you need anything",Safe
"URGENT: Your password has expired. Click here immediately http://phishing-link.net",Phishing
"Meeting reminder: Team sync at 2 PM today",Safe
"Congratulations! You've won a FREE GIFT CARD! Claim now at http://free-gift.com",Phishing
"Thanks for attending the conference yesterday. It was great seeing you",Safe
"Update your payment information or lose access http://verify-payment.xyz",Phishing
"Hey, did you get my email from this morning?",Safe
"ACT NOW: Suspicious activity detected on your account. Verify identity http://verify-id.net",Phishing
"Just finished the report. Check attachment for details",Safe
"Your account will be closed unless you confirm identity http://confirm.fake",Phishing
"The presentation went well today. Great job on that proposal",Safe
"LIMITED TIME OFFER: Get 500% bonus! http://too-good-offer.com",Phishing
"Reminder: Please RSVP for the company event next Friday",Safe
"ALERT: Unauthorized access attempt. Update password immediately http://update-pwd.fake",Phishing
"Thanks for the lunch invite. I'll be there",Safe
"You have been selected to receive $10,000! Claim now http://fake-money.net",Phishing
"Here are the updated Q3 numbers for review",Safe
"Your bank account needs verification http://fake-bank.xyz urgently",Phishing
"Coffee tomorrow morning? Same place as usual?",Safe
"Verify your Apple ID account now http://verify-apple.fake to maintain access",Phishing
"Can you send me the customer database spreadsheet?",Safe
"FINAL NOTICE: Your account will be permanently closed http://close-account.net",Phishing
"The client approved the contract proposal",Safe
"Click to activate your Amazon Prime membership http://activate-prime.fake",Phishing
"Let's schedule a meeting next week",Safe
"Your PayPal account has been compromised. Recover now http://recover-paypal.net",Phishing
"Looking forward to the team lunch on Friday",Safe
"Microsoft account security alert: http://verify-microsoft.fake Confirm immediately",Phishing
"The design looks amazing. Let's move forward",Safe
"Claim your Free Bitcoin Wallet NOW http://free-crypto.net Limited Time Only",Phishing
"Thanks for the feedback on the draft",Safe
"Your Google account may be compromised. Verify http://verify-google.fake immediately",Phishing
"Project deadline has been extended to next month",Safe
"EXCLUSIVE: Get luxury items at 99% off http://luxury-scam.com",Phishing
"Did you see the new office setup?",Safe
"Update your LinkedIn profile settings http://verify-linkedin.fake Required",Phishing
"Please review the attached contract",Safe
"You have inherited $5,000,000! Claim at http://inheritance-scam.net",Phishing
"Quick question about the marketing strategy",Safe
